     t	           0	  NANT	          10	 NANT1	          10	 NANT2	           0	
     t	           1	  NANT	          10	 NANT1	          10	 NANT2	           0	
     t	           2	  NANT	          10	 NANT1	           8	 NANT2	           2	
     t	           3	  NANT	          10	 NANT1	           8	 NANT2	           2	
     t	           4	  NANT	          10	 NANT1	           8	 NANT2	           2	
     t	           5	  NANT	          10	 NANT1	           8	 NANT2	           2	
     t	           6	  NANT	          10	 NANT1	           8	 NANT2	           2	
     t	           7	  NANT	          10	 NANT1	           8	 NANT2	           2	
     t	           8	  NANT	          10	 NANT1	           8	 NANT2	           2	
     t	           9	  NANT	          10	 NANT1	           8	 NANT2	           2	
     t	          10	  NANT	          10	 NANT1	           8	 NANT2	           2	
     t	          11	  NANT	          10	 NANT1	           8	 NANT2	           2	
     t	          12	  NANT	          10	 NANT1	           8	 NANT2	           2	
     t	          13	  NANT	          10	 NANT1	           8	 NANT2	           2	
     t	          14	  NANT	          10	 NANT1	           8	 NANT2	           2	
     t	          15	  NANT	          10	 NANT1	           8	 NANT2	           2	
     t	          16	  NANT	          10	 NANT1	           8	 NANT2	           2	
     t	          17	  NANT	          10	 NANT1	           8	 NANT2	           2	
     t	          18	  NANT	          10	 NANT1	           8	 NANT2	           2	
     t	          19	  NANT	          10	 NANT1	           8	 NANT2	           2	
     t	          20	  NANT	          10	 NANT1	           8	 NANT2	           2	
     t	          21	  NANT	          10	 NANT1	           8	 NANT2	           2	
     t	          22	  NANT	           9	 NANT1	           8	 NANT2	           1	
     t	          23	  NANT	           9	 NANT1	           8	 NANT2	           1	
     t	          24	  NANT	           9	 NANT1	           8	 NANT2	           1	
     t	          25	  NANT	           9	 NANT1	           8	 NANT2	           1	
     t	          26	  NANT	           9	 NANT1	           8	 NANT2	           1	
     t	          27	  NANT	           9	 NANT1	           8	 NANT2	           1	
     t	          28	  NANT	           9	 NANT1	           8	 NANT2	           1	
     t	          29	  NANT	           9	 NANT1	           8	 NANT2	           1	
     t	          30	  NANT	           9	 NANT1	           8	 NANT2	           1	
     t	          31	  NANT	           9	 NANT1	           8	 NANT2	           1	
     t	          32	  NANT	           9	 NANT1	           8	 NANT2	           1	
     t	          33	  NANT	           9	 NANT1	           8	 NANT2	           1	
     t	          34	  NANT	           9	 NANT1	           8	 NANT2	           1	
     t	          35	  NANT	           9	 NANT1	           8	 NANT2	           1	
     t	          36	  NANT	           9	 NANT1	           8	 NANT2	           1	
     t	          37	  NANT	           9	 NANT1	           8	 NANT2	           1	
     t	          38	  NANT	           9	 NANT1	           8	 NANT2	           1	
     t	          39	  NANT	           9	 NANT1	           8	 NANT2	           1	
     t	          40	  NANT	           9	 NANT1	           8	 NANT2	           1	
     t	          41	  NANT	           9	 NANT1	           8	 NANT2	           1	
     t	          42	  NANT	           9	 NANT1	           8	 NANT2	           1	
     t	          43	  NANT	           9	 NANT1	           6	 NANT2	           3	
     t	          44	  NANT	           9	 NANT1	           6	 NANT2	           3	
     t	          45	  NANT	           9	 NANT1	           6	 NANT2	           3	
     t	          46	  NANT	           9	 NANT1	           6	 NANT2	           3	
     t	          47	  NANT	           9	 NANT1	           6	 NANT2	           3	
     t	          48	  NANT	           9	 NANT1	           6	 NANT2	           3	
     t	          49	  NANT	           9	 NANT1	           6	 NANT2	           3	
     t	          50	  NANT	           9	 NANT1	           6	 NANT2	           3	
     t	          51	  NANT	           9	 NANT1	           6	 NANT2	           3	
     t	          52	  NANT	           9	 NANT1	           6	 NANT2	           3	
     t	          53	  NANT	           9	 NANT1	           6	 NANT2	           3	
     t	          54	  NANT	           9	 NANT1	           6	 NANT2	           3	
     t	          55	  NANT	           9	 NANT1	           6	 NANT2	           3	
     t	          56	  NANT	           9	 NANT1	           6	 NANT2	           3	
     t	          57	  NANT	           9	 NANT1	           6	 NANT2	           3	
     t	          58	  NANT	           9	 NANT1	           6	 NANT2	           3	
     t	          59	  NANT	           9	 NANT1	           6	 NANT2	           3	
     t	          60	  NANT	           9	 NANT1	           6	 NANT2	           3	
     t	          61	  NANT	           9	 NANT1	           6	 NANT2	           3	
     t	          62	  NANT	           9	 NANT1	           6	 NANT2	           3	
     t	          63	  NANT	           9	 NANT1	           6	 NANT2	           3	
     t	          64	  NANT	           9	 NANT1	           6	 NANT2	           3	
     t	          65	  NANT	           9	 NANT1	           6	 NANT2	           3	
     t	          66	  NANT	           9	 NANT1	           6	 NANT2	           3	
     t	          67	  NANT	           9	 NANT1	           6	 NANT2	           3	
     t	          68	  NANT	           9	 NANT1	           6	 NANT2	           3	
     t	          69	  NANT	           9	 NANT1	           6	 NANT2	           3	
     t	          70	  NANT	           9	 NANT1	           6	 NANT2	           3	
     t	          71	  NANT	           9	 NANT1	           6	 NANT2	           3	
     t	          72	  NANT	           9	 NANT1	           6	 NANT2	           3	
     t	          73	  NANT	           9	 NANT1	           6	 NANT2	           3	
     t	          74	  NANT	           9	 NANT1	           6	 NANT2	           3	
     t	          75	  NANT	           9	 NANT1	           6	 NANT2	           3	
     t	          76	  NANT	           9	 NANT1	           6	 NANT2	           3	
     t	          77	  NANT	           9	 NANT1	           6	 NANT2	           3	
     t	          78	  NANT	           9	 NANT1	           6	 NANT2	           3	
     t	          79	  NANT	           9	 NANT1	           6	 NANT2	           3	
     t	          80	  NANT	           9	 NANT1	           6	 NANT2	           3	
     t	          81	  NANT	           9	 NANT1	           6	 NANT2	           3	
     t	          82	  NANT	           9	 NANT1	           6	 NANT2	           3	
     t	          83	  NANT	           9	 NANT1	           6	 NANT2	           3	
     t	          84	  NANT	           9	 NANT1	           6	 NANT2	           3	
     t	          85	  NANT	           9	 NANT1	           6	 NANT2	           3	
     t	          86	  NANT	           9	 NANT1	           3	 NANT2	           6	
     t	          87	  NANT	           9	 NANT1	           3	 NANT2	           6	
     t	          88	  NANT	           9	 NANT1	           3	 NANT2	           6	
     t	          89	  NANT	           9	 NANT1	           3	 NANT2	           6	
     t	          90	  NANT	           9	 NANT1	           3	 NANT2	           6	
     t	          91	  NANT	           9	 NANT1	           2	 NANT2	           7	
     t	          92	  NANT	           9	 NANT1	           2	 NANT2	           7	
     t	          93	  NANT	           9	 NANT1	           2	 NANT2	           7	
     t	          94	  NANT	           9	 NANT1	           2	 NANT2	           7	
     t	          95	  NANT	           9	 NANT1	           2	 NANT2	           7	
     t	          96	  NANT	           9	 NANT1	           1	 NANT2	           8	
     t	          97	  NANT	           9	 NANT1	           1	 NANT2	           8	
     t	          98	  NANT	           9	 NANT1	           1	 NANT2	           8	
     t	          99	  NANT	           9	 NANT1	           1	 NANT2	           8	
     t	         100	  NANT	           9	 NANT1	           1	 NANT2	           8	
18.9099 95
9	0	0	0	0	0	0	0	0	0	
