     t	           0	  NANT	          10	 NANT1	          10	 NANT2	           0	
     t	           1	  NANT	          10	 NANT1	           8	 NANT2	           2	
     t	           2	  NANT	          10	 NANT1	           8	 NANT2	           2	
     t	           3	  NANT	          10	 NANT1	           8	 NANT2	           2	
     t	           4	  NANT	          10	 NANT1	           8	 NANT2	           2	
     t	           5	  NANT	          10	 NANT1	           6	 NANT2	           4	
     t	           6	  NANT	          10	 NANT1	           6	 NANT2	           4	
     t	           7	  NANT	          10	 NANT1	           6	 NANT2	           4	
     t	           8	  NANT	          10	 NANT1	           6	 NANT2	           4	
     t	           9	  NANT	          10	 NANT1	           6	 NANT2	           4	
     t	          10	  NANT	          10	 NANT1	           6	 NANT2	           4	
     t	          11	  NANT	          10	 NANT1	           6	 NANT2	           4	
     t	          12	  NANT	          10	 NANT1	           6	 NANT2	           4	
     t	          13	  NANT	          10	 NANT1	           6	 NANT2	           4	
     t	          14	  NANT	           9	 NANT1	           5	 NANT2	           4	
     t	          15	  NANT	           9	 NANT1	           5	 NANT2	           4	
     t	          16	  NANT	           9	 NANT1	           4	 NANT2	           5	
     t	          17	  NANT	           9	 NANT1	           4	 NANT2	           5	
     t	          18	  NANT	           9	 NANT1	           4	 NANT2	           5	
     t	          19	  NANT	           9	 NANT1	           4	 NANT2	           5	
     t	          20	  NANT	           9	 NANT1	           4	 NANT2	           5	
     t	          21	  NANT	           9	 NANT1	           4	 NANT2	           5	
     t	          22	  NANT	           9	 NANT1	           4	 NANT2	           5	
     t	          23	  NANT	           9	 NANT1	           4	 NANT2	           5	
     t	          24	  NANT	           9	 NANT1	           4	 NANT2	           5	
     t	          25	  NANT	           8	 NANT1	           4	 NANT2	           4	
     t	          26	  NANT	           8	 NANT1	           4	 NANT2	           4	
     t	          27	  NANT	           8	 NANT1	           4	 NANT2	           4	
     t	          28	  NANT	           8	 NANT1	           4	 NANT2	           4	
     t	          29	  NANT	           8	 NANT1	           4	 NANT2	           4	
     t	          30	  NANT	           8	 NANT1	           4	 NANT2	           4	
     t	          31	  NANT	           8	 NANT1	           4	 NANT2	           4	
     t	          32	  NANT	           8	 NANT1	           4	 NANT2	           4	
     t	          33	  NANT	           8	 NANT1	           4	 NANT2	           4	
     t	          34	  NANT	           8	 NANT1	           4	 NANT2	           4	
     t	          35	  NANT	           8	 NANT1	           4	 NANT2	           4	
     t	          36	  NANT	           8	 NANT1	           4	 NANT2	           4	
     t	          37	  NANT	           8	 NANT1	           4	 NANT2	           4	
     t	          38	  NANT	           8	 NANT1	           4	 NANT2	           4	
     t	          39	  NANT	           8	 NANT1	           4	 NANT2	           4	
     t	          40	  NANT	           8	 NANT1	           4	 NANT2	           4	
     t	          41	  NANT	           8	 NANT1	           4	 NANT2	           4	
     t	          42	  NANT	           8	 NANT1	           4	 NANT2	           4	
     t	          43	  NANT	           8	 NANT1	           4	 NANT2	           4	
     t	          44	  NANT	           8	 NANT1	           4	 NANT2	           4	
     t	          45	  NANT	           8	 NANT1	           4	 NANT2	           4	
     t	          46	  NANT	           8	 NANT1	           4	 NANT2	           4	
     t	          47	  NANT	           8	 NANT1	           4	 NANT2	           4	
     t	          48	  NANT	           8	 NANT1	           4	 NANT2	           4	
     t	          49	  NANT	           8	 NANT1	           4	 NANT2	           4	
     t	          50	  NANT	           8	 NANT1	           4	 NANT2	           4	
     t	          51	  NANT	           8	 NANT1	           4	 NANT2	           4	
     t	          52	  NANT	           8	 NANT1	           4	 NANT2	           4	
     t	          53	  NANT	           8	 NANT1	           4	 NANT2	           4	
     t	          54	  NANT	           8	 NANT1	           4	 NANT2	           4	
     t	          55	  NANT	           8	 NANT1	           3	 NANT2	           5	
     t	          56	  NANT	           8	 NANT1	           3	 NANT2	           5	
     t	          57	  NANT	           8	 NANT1	           3	 NANT2	           5	
     t	          58	  NANT	           8	 NANT1	           3	 NANT2	           5	
     t	          59	  NANT	           8	 NANT1	           3	 NANT2	           5	
     t	          60	  NANT	           8	 NANT1	           3	 NANT2	           5	
     t	          61	  NANT	           8	 NANT1	           3	 NANT2	           5	
     t	          62	  NANT	           8	 NANT1	           3	 NANT2	           5	
     t	          63	  NANT	           8	 NANT1	           3	 NANT2	           5	
     t	          64	  NANT	           8	 NANT1	           3	 NANT2	           5	
     t	          65	  NANT	           7	 NANT1	           3	 NANT2	           4	
     t	          66	  NANT	           7	 NANT1	           3	 NANT2	           4	
     t	          67	  NANT	           6	 NANT1	           3	 NANT2	           3	
     t	          68	  NANT	           6	 NANT1	           3	 NANT2	           3	
     t	          69	  NANT	           6	 NANT1	           3	 NANT2	           3	
